brand,item,category,meat,price_uah,weight_g,calories_total,protein_total,fat_total,carbs_total,sodium_total,calories,protein_g,fat_g,carbs_g,sodium_mg,price_per_100g,price_per_100kcal,price_per_protein,protein_kcal,fat_kcal,carbs_kcal,macro_kcal,protein_pct,fat_pct,carbs_pct,is_protein,is_fat,is_carb,macro_balance_score,macro_balance,predicted_price,price_difference,price_difference_pct,absolute_price_difference
KFC,Double Cheeseburger,burger,Chicken,128,170,482.7,25.8,21.1,50.0,2600.0,283.9,15.2,12.4,29.4,1529.4,75.29,26.52,4.96,103.2,189.9,200.0,493.1,20.92881768403975,38.51145812208477,40.55972419387548,True,False,True,2,Partially balanced,150.18915153877919,-22.189151538779186,-14.77,22.189151538779186
KFC,Chefburger,burger,Chicken,149,182,453.7,24.2,20.4,45.5,1000.0,249.3,13.3,11.2,25.0,549.5,81.87,32.84,6.16,96.8,183.6,182.0,462.4,20.934256055363324,39.70588235294118,39.359861591695505,True,False,False,1,Poorly balanced,139.2492711800821,9.750728819917896,7.0,9.750728819917896
KFC,Chefburger spicy,burger,Chicken,149,180,437.3,21.3,20.8,43.3,1100.0,242.9,11.8,11.6,24.1,611.1,82.78,34.07,7.0,85.2,187.20000000000002,173.2,445.6,19.120287253141832,42.010771992818675,38.86894075403949,False,False,False,0,Poorly balanced,131.9875208573415,17.012479142658492,12.89,17.012479142658492
KFC,Grander original,burger,Chicken,245,281,669.4,31.4,34.5,61.4,2700.0,238.2,11.2,12.3,21.9,960.9,87.19,36.6,7.8,125.6,310.5,245.6,681.7,18.424526917999117,45.54789496846119,36.027578113539676,False,False,False,0,Poorly balanced,225.80984452421944,19.190155475780557,8.5,19.190155475780557
KFC,Grander spicy,burger,Chicken,245,277,653.0,28.5,34.9,59.2,2800.0,235.7,10.3,12.6,21.4,1010.8,88.45,37.52,8.6,114.0,314.09999999999997,236.8,664.9,17.145435403820127,47.24018649420965,35.614378101970225,False,False,False,0,Poorly balanced,218.44590563082016,26.554094369179836,12.16,26.554094369179836
KFC,Street Bit Dog,burger,Chicken,99,146,351.8,12.6,17.4,38.0,1500.0,241.0,8.6,11.9,26.0,1027.4,67.81,28.14,7.86,50.4,156.6,152.0,359.0,14.03899721448468,43.62116991643454,42.33983286908078,False,False,True,1,Poorly balanced,95.63358588133678,3.366414118663215,3.52,3.366414118663215
KFC,Street Bit Dog spicy,burger,Chicken,99,143,334.5,11.8,17.3,34.7,1500.0,233.9,8.3,12.1,24.3,1049.0,69.23,29.6,8.39,47.2,155.70000000000002,138.8,341.70000000000005,13.813286508633302,45.56628621597893,40.62042727538777,False,False,True,1,Poorly balanced,89.0444235466488,9.955576453351199,11.18,9.955576453351199
KFC,Double Chicken Bacon,burger,Chicken,249,226,660.3,42.8,41.8,29.8,1700.0,292.2,18.9,18.5,13.2,752.2,110.18,37.71,5.82,171.2,376.2,119.2,666.6,25.68256825682568,56.43564356435643,17.88178817881788,True,False,False,1,Poorly balanced,223.55836756444194,25.441632435558063,11.38,25.441632435558063
KFC,Double Chicken Bacon spicy,burger,Chicken,249,215,627.5,36.9,42.6,25.4,2000.0,291.9,17.2,19.8,11.8,930.2,115.81,39.68,6.75,147.6,383.40000000000003,101.6,632.6,23.3322794815049,60.60701865317737,16.060701865317732,True,False,False,1,Poorly balanced,208.49185047072422,40.508149529275784,19.43,40.508149529275784
KFC,Boxmaster,wrap,Chicken,216,212,736.8,29.5,37.6,73.7,2700.0,347.5,13.9,17.7,34.8,1273.6,101.89,29.32,7.32,118.0,338.40000000000003,294.8,751.2,15.708200212992542,45.04792332268371,39.24387646432375,False,False,False,0,Poorly balanced,246.09407609529035,-30.094076095290347,-12.23,30.094076095290347
KFC,Boxmaster spicy,wrap,Chicken,216,210,720.4,26.6,38.0,71.5,2800.0,343.0,12.7,18.1,34.0,1333.3,102.86,29.98,8.12,106.4,342.0,286.0,734.4,14.4880174291939,46.568627450980394,38.9433551198257,False,False,False,0,Poorly balanced,238.83232577254967,-22.832325772549666,-9.56,22.832325772549666
KFC,I-twister,wrap,Chicken,75,103,274.3,11.7,12.3,30.8,1000.0,266.3,11.4,11.9,29.9,970.9,72.82,27.34,6.41,46.8,110.7,123.2,280.7,16.672604203776274,39.43712148200926,43.890274314214466,False,False,True,1,Poorly balanced,65.08401610629471,9.915983893705288,15.24,9.915983893705288
KFC,Twister,wrap,Chicken,148,185,512.0,22.5,23.4,55.6,1900.0,276.8,12.2,12.6,30.1,1027.0,80.0,28.91,6.58,90.0,210.6,222.4,523.0,17.208413001912046,40.267686424474185,42.523900573613766,False,False,True,1,Poorly balanced,160.17257176548227,-12.172571765482274,-7.6,12.172571765482274
